srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres
Kra daadi,0.0,0.0,2.0
Krishna,486.0,136.0,15.0
Krishnagiri,17.0,0.0,1.0
Kulgam,128.0,26.0,3.0
Kullu,103.0,28.0,5.0
Kupwara,259.0,17.0,7.0
Kurnool,311.0,69.0,5.0
Kurukshetra,112.0,4.0,5.0
Kurung Kumey,16.0,4.0,2.0
Kushinagar,175.0,21.0,4.0
Kutchh,179.0,37.0,5.0
L & S,36.0,17.0,3.0
Lakhimpur,98.60377411,19.12715351,5.936013157
Lakhimpur Kheri,352.0,37.0,16.0
Lakhisarai,98.0,11.0,1.0
Lakshadweep,172.0,7.0,8.0
Lalitpur,291.0,18.0,17.0
Latehar,258.0,15.0,12.0
Latur,774.0,12.0,26.0
Lawngtlai District,24.0,4.0,0.0
Leh,0.0,0.0,0.0
Lohardaga,62.0,4.0,6.0
Lohit,14.0,3.0,4.0
Longding,9.0,7.0,1.0
Longleng,21.0,2.0,1.0
Lower Dibang valley,23.0,8.0,2.0
Lower Siang,3.536078282,0.76871267,0.461227602
Lower Subansiri,8.0,8.0,4.0
Lucknow,194.0,10.0,7.0
Ludhiana,209.0,5.0,11.0
Lunglei District,147.68578484,10.941812008,2.988362402
Madhepura,272.0,12.0,4.0
Madhubani,376.0,75.0,2.0
Madurai,4.0,1.0,1.0
Mahabubabad,0.0,0.0,0.0
Mahabubnagar,0.0,0.0,0.0
Maharajganj,146.0,2.0,4.0
Mahasamund,66.0,10.0,2.0
Mahe,154.0,0.0,4.0
Mahisagar,316.0,77.0,10.0
Mahoba,206.0,37.0,10.0
Mainpuri,205.0,20.0,7.0
Malappuram,271.0692087,14.05479979,11.86718759
Malda,94.0,4.0,6.0
Malkangiri,245.0,40.0,11.0
Mamit District,12.47995794,1.961136248,0.178285113
Mancherial,0.0,0.0,0.0
Mandi,325.0,85.0,13.0
Mandla,206.0,13.0,7.0
Mandsaur,185.0,16.0,6.0
Mandya,261.0,35.0,12.0
Mansa,76.0,3.0,4.0
Marigaon,742.0,149.0,35.0
Mathura,225.0,21.0,6.0
Maunathbhanjan,252.0,14.0,12.0
Mayurbhanj,276.0,36.0,10.0
Medak,0.0,0.0,0.0
Medchal Malkajgiri,0.0,0.0,0.0
Meerut,245.0,22.0,16.0
Mehsana,279.0,64.0,12.0
Mirzapur,249.0,31.0,3.0
Moga,89.0,10.0,6.0
Mohali,51.0,1.0,5.0
Mokokchung,27.25192781,9.323027935,1.43431199
Mon,37.0,12.0,2.0
Moradabad,260.0,28.0,4.0
Morbi,208.0,49.0,12.0
Morena,77.0,6.0,3.0
Mukatsar,75.0,2.0,5.0
Mulugu,0.0,0.0,0.0
Mumbai,626.0,15.0,17.0
Mungeli,79.0,7.0,4.0
Munger,152.0,12.0,9.0
Murshidabad,169.0,22.0,7.0
Muzaffarnagar,199.0,23.0,6.0
Muzaffarpur,494.0,78.0,3.0
Mysore,483.0,70.0,24.0
Nabarangapur,193.0,24.0,7.0
Nadia,274.0,18.0,13.0
Nagaon,1068.0,83.0,33.0
Nagapattinam,225.0,10.0,4.0
Nagarkurnool,0.0,0.0,0.0
Nagaur,476.0,80.0,21.0
Nagpur,528.0,15.0,12.0
Nainital,128.0,12.0,8.0
Nalanda,367.0,58.0,2.0
Nalbari,1192.0,100.0,44.0
Nalgonda,0.0,0.0,0.0
Namakkal,4.0,0.0,0.0
Namsai,28.0,8.0,3.0
Nanded,518.0,3.0,18.0
Nandurbar,449.0,7.0,14.0
Narayanpet,0.0,0.0,0.0
Narayanpur,209.0,11.0,7.0
Narmada,296.0,56.0,10.0
Narnaul,128.0,8.0,7.0
Narsinghpur,54.47460217,6.052733574,1.842136305
Nashik,499.0,6.0,14.0
Navsari,192.0,6.0,7.0
Nawada,334.0,28.0,2.0
Nawanshahar,92.0,4.0,3.0
Nayagarh,98.0,5.0,5.0
Neemuch,193.0,83.0,16.0
Nellore,196.0,29.0,7.0
New Delhi,6.0,73.0,0.0
Nicobar,87.0,0.0,2.0
Nirmal,0.0,0.0,0.0
Nizamabad,0.0,0.0,0.0
North,47.0,46.0,1.0
North & Middle Andman,138.0,16.0,4.0
North 24-Parganas,159.0,38.0,15.0
North District,70.0,6.0,1.0
North East,12.0,28.0,0.0
North Garo Hills,263.5603563,21.01798832,6.323905375
North Goa,118.4452933,8.502261153,3.811358448
North West,29.0,65.0,0.0
Nuapada,48.0,5.0,1.0
Nuh,50.0,6.0,3.0
Osmanabad,422.0,7.0,15.0
Pakaur,234.0,20.0,18.0
Palakkad,338.9307913,49.94520021,14.13281241
Palamu,170.0,8.0,14.0
Palghar,342.0,82.0,11.0
Pali,257.0,33.0,12.0
Palwal,81.0,6.0,7.0
Panchkula,39.0,0.0,3.0
Panchmahal,280.0,57.0,13.0
Panipat,81.0,7.0,6.0
Panna,206.0,6.0,12.0
Papum Pare,0.0,0.0,2.0
Parbhani,496.0,14.0,12.0
Paschim Bardhaman,100.0,7.0,5.0
Paschim Medinipur,116.0,9.0,5.0
Pashchimi Singhbhum,158.0,5.0,6.0
Patan,319.0,24.0,10.0
Pathanamthitta,159.8078471,3.213703797,3.865413491
Pathankot,54.0,0.0,4.0
Patiala,177.0,1.0,10.0
Patna,529.0,40.0,11.0
Pauri Garhwal,228.0,26.0,5.0
Peddapalli,0.0,0.0,0.0
Perambalur,29.0,10.0,1.0
Peren,10.74807219,3.676972065,0.56568801
Phek,47.0,13.0,2.0
Pherjawl,88.94065284,17.03118884,1.892354316
Pilibhit,355.0,36.0,12.0
Pithoragarh,156.0,18.0,4.0
Poonch,147.0,32.0,3.0
Porbandar,232.0,45.0,6.0
Prakasam,266.0,69.0,2.0
Pratapgarh,710.0,78.0,33.0
Puducherry,108.0,0.0,2.0
Pudukkottai,33.0,4.0,1.0
Pulwama,92.0,33.0,3.0
Pune,373.0,4.0,11.0
Purba Bardhaman,171.0,1.0,9.0
Purba Medinipur,67.0,9.0,4.0
Purbi Singhbhum,176.0,21.0,7.0
Puri,76.0,9.0,3.0
Purnia,306.0,42.0,6.0
Puruliya,130.0,10.0,6.0
Rae Bareli,211.0,15.0,5.0
Raichur,472.0,65.0,24.0
Raigad,568.0,9.0,14.0
Raigarh,98.0,15.0,4.0
Raipur,235.0,27.0,10.0
Raisen,251.0,33.0,14.0
Rajanna Sircilla,0.0,0.0,0.0
Rajgarh,715.0,81.0,27.0
Rajkot,289.0,1.0,9.0
Rajnandgaon,305.0,64.0,11.0
Rajouri,217.0,37.0,7.0
Rajsamand,266.0,33.0,14.0
Ramanagar,301.0144094,25.00054719,14.00059279
Ramanathapuram,34.0,8.0,2.0
Ramban,93.0,19.0,3.0
Ramgarh,287.0,12.0,10.0
Rampur,363.0,43.0,12.0
Ranchi,224.0,15.0,8.0
Rangareddy,0.0,0.0,0.0
Ratlam,221.0,26.0,10.0
Ratnagiri,233.0,49.0,8.0
Rayagada,153.0,16.0,6.0
Reasi,111.0,22.0,2.0
Rewa,278.0,42.0,13.0
Rewari,112.0,16.0,5.0
Ri Bhoi,19.0,4.0,2.0
Rohtak,116.0,20.0,7.0
