srcStateName,srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres,Functional Health and Wellness Centres-Sub Centres,Functional Health and Wellness Centres-Primary Health Centres,Functional Sub Divisional Hospitals,Functional District Hospitals,srcYear,YearCode,Year,Country,StateCode,StateName,DistrictCode
Gujarat,Ahmedabad,193,83,16,23,34,2,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,104
Gujarat,Amreli,206,6,12,42,38,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,105
Gujarat,Anand,251,33,14,26,28,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,106
Gujarat,Arvalli,204,21,10,15,17,1,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,107
Gujarat,Chhota Udepur,286,27,12,24,24,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,108
Gujarat,Dahod,553,37,21,84,62,1,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,109
Gujarat,Dang,59,0,3,9,10,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,110
Gujarat,Devbhumi Dwarka,165,21,4,4,4,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,111
Gujarat,Gandhinagar,155,13,9,17,23,1,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,112
Gujarat,Gir Somnath,151,11,8,22,22,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,113
Gujarat,Jamnagar,184,16,9,26,29,0,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,114
Gujarat,Junagadh,226,32,10,11,14,0,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,115
Gujarat,Kutchh,418,32,17,24,39,2,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,116
Gujarat,Kheda,276,25,15,40,39,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,117
Gujarat,Mehsana,261,27,12,34,36,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,629
Gujarat,Mahisagar,209,19,8,15,17,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,118
Gujarat,Morbi,182,14,6,16,20,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,119
Gujarat,Narmada,150,13,4,24,15,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,120
Jharkhand,Bokaro,101,2,8,14,18,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,121
Jharkhand,Chatra,87,8,5,6,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,122
Jharkhand,Deoghar,171,1,9,9,12,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,123
Jharkhand,Dhanbad,134,20,7,6,7,0,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,124
Jharkhand,Dumka,240,20,12,8,22,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,125
Jharkhand,Garhwa,108,10,6,9,1,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,126
Jharkhand,Giridih,177,17,11,2,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,127
Jharkhand,Godda,177,9,7,4,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,128
Jharkhand,Gumla,231,0,10,12,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,129
Jharkhand,Hazaribagh,136,7,8,4,7,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,130
Jharkhand,Jamtara,127,6,4,2,11,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,131
Jharkhand,Khunti,100,7,5,8,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,132
Jharkhand,Kodarma,62,6,6,3,8,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,9,UTTAR PRADESH,133
